GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US36061015200,36061015200,"Census Tract 152, New York County, New York",7162,496,4631,469,1067,340,18,29,767,265,0,16,474,250,205,140,53,68,152,125
1400000US36061015300,36061015300,"Census Tract 153, New York County, New York",9025,965,7908,974,224,213,33,48,729,271,0,16,0,16,131,92,23,38,108,82
1400000US36061015400,36061015400,"Census Tract 154, New York County, New York",14969,1294,12088,1439,559,256,0,18,1763,627,0,18,13,21,546,433,98,109,448,417
1400000US36061015500,36061015500,"Census Tract 155, New York County, New York",10244,845,8492,743,169,188,0,16,1040,281,0,16,163,233,380,360,23,37,357,358
1400000US36061015601,36061015601,"Census Tract 156.01, New York County, New York",5719,408,4402,422,366,171,0,16,835,320,13,24,50,73,53,62,0,16,53,62
1400000US36061015602,36061015602,"Census Tract 156.02, New York County, New York",2286,372,765,172,431,175,0,11,657,330,0,11,368,280,65,68,12,19,53,54
1400000US36061015700,36061015700,"Census Tract 157, New York County, New York",10123,857,9160,840,95,75,0,18,649,321,0,18,11,17,208,168,33,47,175,160
1400000US36061015801,36061015801,"Census Tract 158.01, New York County, New York",5585,616,4992,573,232,279,0,16,228,103,0,16,44,50,89,63,0,16,89,63
1400000US36061015802,36061015802,"Census Tract 158.02, New York County, New York",4524,407,3012,324,261,146,8,12,1033,235,0,11,44,47,166,96,0,11,166,96
1400000US36061015900,36061015900,"Census Tract 159, New York County, New York",8621,1013,7569,1006,153,108,15,25,661,267,0,16,93,150,130,105,0,16,130,105
1400000US36061016001,36061016001,"Census Tract 160.01, New York County, New York",3695,397,3343,389,6,9,0,11,235,116,0,11,10,16,101,90,0,11,101,90
1400000US36061016002,36061016002,"Census Tract 160.02, New York County, New York",3276,433,2422,391,129,85,0,11,403,146,0,11,211,146,111,106,0,11,111,106
1400000US36061016100,36061016100,"Census Tract 161, New York County, New York",6563,483,5723,480,93,95,8,13,491,197,0,16,119,108,129,112,46,74,83,86
1400000US36061016200,36061016200,"Census Tract 162, New York County, New York",8993,846,2452,662,3944,822,30,52,425,195,19,24,1882,635,241,176,151,155,90,74
1400000US36061016300,36061016300,"Census Tract 163, New York County, New York",7276,732,6062,493,118,72,0,16,901,554,0,16,87,77,108,93,0,16,108,93
1400000US36061016400,36061016400,"Census Tract 164, New York County, New York",6722,656,2051,453,1947,495,0,16,720,364,0,16,1733,655,271,151,164,139,107,71
1400000US36061016500,36061016500,"Census Tract 165, New York County, New York",7022,734,6122,711,337,216,32,77,303,142,0,16,31,36,197,106,0,16,197,106
1400000US36061016600,36061016600,"Census Tract 166, New York County, New York",7693,763,3662,710,1213,297,17,27,381,221,0,16,2189,582,231,148,161,133,70,51
1400000US36061016700,36061016700,"Census Tract 167, New York County, New York",6309,485,5571,518,146,112,0,16,307,124,0,16,100,74,185,105,116,96,69,54
1400000US36061016800,36061016800,"Census Tract 168, New York County, New York",4974,503,1768,379,2005,443,10,14,218,82,0,11,802,250,171,100,22,33,149,92
1400000US36061016900,36061016900,"Census Tract 169, New York County, New York",7811,952,6583,962,429,281,16,27,417,158,0,16,111,154,255,210,136,169,119,151
1400000US36061017000,36061017000,"Census Tract 170, New York County, New York",7598,649,1841,456,2429,690,26,29,1158,347,97,143,1756,564,291,163,215,144,76,80
1400000US36061017100,36061017100,"Census Tract 171, New York County, New York",9441,693,7657,624,823,341,0,16,487,186,0,16,51,43,423,261,0,16,423,261
1400000US36061017200,36061017200,"Census Tract 172, New York County, New York",5660,594,1948,643,1496,343,19,21,317,146,0,16,1815,686,65,51,17,26,48,43
1400000US36061017300,36061017300,"Census Tract 173, New York County, New York",8968,909,6784,1016,604,221,0,16,843,368,0,16,351,202,386,239,0,16,386,239
1400000US36061017401,36061017401,"Census Tract 174.01, New York County, New York",4330,495,1042,330,1831,491,0,11,457,326,0,11,945,396,55,108,0,11,55,108
1400000US36061017402,36061017402,"Census Tract 174.02, New York County, New York",2562,235,780,204,1040,204,7,10,300,170,0,11,349,179,86,75,8,12,78,74
1400000US36061017500,36061017500,"Census Tract 175, New York County, New York",10933,1137,9354,1191,378,167,132,161,328,168,0,18,145,171,596,381,237,244,359,312
1400000US36061017700,36061017700,"Census Tract 177, New York County, New York",9426,737,5486,790,1691,508,0,16,752,389,0,16,831,574,666,353,0,16,666,353
1400000US36061017800,36061017800,"Census Tract 178, New York County, New York",3931,374,1621,363,832,285,0,11,199,136,0,11,1093,349,186,126,94,104,92,81
1400000US36061017900,36061017900,"Census Tract 179, New York County, New York",9333,907,7285,805,689,323,585,835,477,251,0,16,61,72,236,156,0,16,236,156
1400000US36061018000,36061018000,"Census Tract 180, New York County, New York",7717,934,1805,556,2435,544,0,16,565,260,0,16,2630,824,282,199,224,187,58,78
1400000US36061018100,36061018100,"Census Tract 181, New York County, New York",9267,669,5966,686,2026,544,0,16,848,375,0,16,237,148,190,125,86,88,104,104
1400000US36061018200,36061018200,"Census Tract 182, New York County, New York",6553,783,1376,502,1784,471,0,16,126,137,0,16,3133,726,134,122,30,35,104,115
1400000US36061018300,36061018300,"Census Tract 183, New York County, New York",8382,620,6254,642,642,217,0,16,905,420,0,16,439,397,142,138,34,38,108,143
1400000US36061018400,36061018400,"Census Tract 184, New York County, New York",8274,995,1230,395,4096,724,13,20,625,256,0,16,2175,865,135,80,87,64,48,44
1400000US36061018500,36061018500,"Census Tract 185, New York County, New York",5296,560,3538,512,749,301,8,13,670,307,0,11,42,63,289,208,0,11,289,208
1400000US36061018600,36061018600,"Census Tract 186, New York County, New York",7245,791,1051,506,4271,800,9,15,266,183,0,16,1518,481,130,96,28,47,102,92
1400000US36061018700,36061018700,"Census Tract 187, New York County, New York",8908,787,6151,865,1203,393,0,16,1050,520,0,16,241,185,263,166,35,59,228,156
1400000US36061018800,36061018800,"Census Tract 188, New York County, New York",5570,679,1963,575,1360,346,31,49,233,132,0,16,1876,737,107,78,13,21,94,76
1400000US36061018900,36061018900,"Census Tract 189, New York County, New York",12331,1047,4719,834,4617,827,157,177,580,286,0,18,2025,784,233,130,49,54,184,116
1400000US36061019000,36061019000,"Census Tract 190, New York County, New York",3010,302,560,199,1843,258,21,26,305,131,0,11,109,84,172,100,75,78,97,68
1400000US36061019100,36061019100,"Census Tract 191, New York County, New York",9474,852,7154,718,1025,404,56,62,806,306,0,16,208,121,225,153,76,83,149,119
1400000US36061019200,36061019200,"Census Tract 192, New York County, New York",4103,406,509,189,1750,339,108,128,190,161,0,11,1361,353,185,135,94,77,91,106
1400000US36061019300,36061019300,"Census Tract 193, New York County, New York",9305,879,4547,1036,1937,624,34,54,577,327,0,16,1867,935,343,235,86,85,257,226
1400000US36061019400,36061019400,"Census Tract 194, New York County, New York",6694,880,821,304,2707,539,0,16,216,131,0,16,2737,782,213,168,68,58,145,161
1400000US36061019500,36061019500,"Census Tract 195, New York County, New York",7911,586,5670,533,653,362,0,16,1076,302,0,16,253,123,259,154,42,39,217,149
1400000US36061019600,36061019600,"Census Tract 196, New York County, New York",4245,462,869,272,1217,252,0,11,255,104,0,11,1610,512,294,163,57,51,237,157
1400000US36061019701,36061019701,"Census Tract 197.01, New York County, New York",898,178,551,107,73,51,0,11,216,126,0,11,0,11,58,93,0,11,58,93
1400000US36061019702,36061019702,"Census Tract 197.02, New York County, New York",2202,275,854,146,852,244,0,11,172,101,0,11,222,110,102,74,40,59,62,50
1400000US36061019800,36061019800,"Census Tract 198, New York County, New York",2465,325,590,166,1641,389,0,11,130,122,0,11,96,74,8,13,0,11,8,13
1400000US36061019900,36061019900,"Census Tract 199, New York County, New York",9879,1580,6939,1152,673,233,9,18,1757,585,0,18,100,73,401,152,72,72,329,127
1400000US36061020000,36061020000,"Census Tract 200, New York County, New York",3018,411,834,235,1612,312,0,11,194,137,0,11,231,122,147,110,84,86,63,70
1400000US36061020101,36061020101,"Census Tract 201.01, New York County, New York",1921,791,1265,588,187,132,13,18,274,101,0,11,23,26,159,184,0,11,159,184
1400000US36061020102,36061020102,"Census Tract 201.02, New York County, New York",4203,370,1215,298,2385,374,0,11,75,70,0,11,378,202,150,92,30,36,120,83
1400000US36061020300,36061020300,"Census Tract 203, New York County, New York",3368,687,2108,550,403,122,16,31,646,201,0,11,11,16,184,80,3,6,181,80
1400000US36061020500,36061020500,"Census Tract 205, New York County, New York",5191,597,3880,380,341,137,0,11,810,314,6,14,18,22,136,157,0,11,136,157
1400000US36061020600,36061020600,"Census Tract 206, New York County, New York",3025,380,400,126,2232,407,21,38,109,98,0,11,151,94,112,60,11,18,101,59
1400000US36061020701,36061020701,"Census Tract 207.01, New York County, New York",3281,289,2059,292,117,64,4,7,764,203,0,11,230,145,107,52,11,17,96,50
1400000US36061020800,36061020800,"Census Tract 208, New York County, New York",5443,715,1226,400,3046,629,72,101,564,392,0,16,191,245,344,294,0,16,344,294
1400000US36061020901,36061020901,"Census Tract 209.01, New York County, New York",3987,378,505,189,2246,311,0,11,44,41,0,11,1159,247,33,31,0,11,33,31
1400000US36061021000,36061021000,"Census Tract 210, New York County, New York",7144,826,518,192,5463,862,0,16,92,104,0,16,662,436,409,394,0,16,409,394
